building_id,puma,income,is_care,annual_kwh,scaling_factor,e_tou_c_bill,e_tou_c_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,baseline_gas_therms,gas_savings_therms,pv_size_kw_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,self_sufficiency_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,e_tou_c_bill_s2_pv_stor,e_tou_c_f_bill_s2_pv_stor,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,self_sufficiency_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,e_tou_c_bill_s1_ev,e_tou_c_f_bill_s1_ev
100045,G06009705,medium,False,5205.654,0.8624372092015187,2018.1803833299994,2027.1097057100017,2018.1148252,1991.8766378000003,1370.1445205000002,2396.9504034,1722.5088897,2775.3324505,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100051,G06008512,low,True,6960.434,0.8079209467363546,1926.4409767200023,1729.465697757,1926.3725574599998,1903.28478002,1355.80585166,1587.99149964,994.1294881700001,1249.23188029,1,1,0,1,0.0,73.85966852992888,73.85966852992888,3.423732221998453,3008.029491365274,2022.9189296925451,1624.830652712795,4241.4716703074555,0.6093688511819026,0.0,0.0,0.0,263.4528,263.4528,526.9044,0.0,73.32864,,,,,,,,,,,,,
100080,G06008302,high,False,7938.257,0.7762566405843095,3421.7949390899958,3235.555240379999,3421.6793675999998,3381.2307642999995,2422.190708,3429.7257364999996,2389.4243513999995,3437.1061814999994,0,0,1,0,10.098673448995061,71.77115030113917,71.77115030113917,,,,,,,,,,,,,,,9166.9289362944,0.0,0.0,0.0,0.0,3972.0382197131294,3925.660348608775,2826.3116797655684,3825.8485588939693,2633.3285224074734,3678.8701069811827,3972.169242173496,3703.5716635736867
100088,G06008505,high,False,4662.001,0.8079209467363546,1816.2655657299988,1849.6333066999982,1816.2114993999999,1792.9999884999997,1243.2704899999999,2274.1986303999997,1677.8413818999998,2731.7624314,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100112,G06008101,low,True,7738.125,0.7640705232624861,2170.5917371905,1930.7298705029964,2170.5327625799996,2145.4413517549997,1551.13166416,1780.655396715,1135.9374299,1390.322294365,1,1,0,0,0.0,99.77669645790884,99.77669645790884,3.7445905942387716,3186.9259854754873,2089.42511372507,1715.3363219007138,4874.88738627493,0.6299830238300531,0.0,0.0,0.0,263.4528,263.4528,526.9044,0.0,73.32864,,,,,,,,,,,,,
100128,G06001902,low,True,6389.996999999999,0.9082432929445241,1631.1614808124996,1470.368474866002,1631.111310335,1610.359689835,1118.79440816,1354.1836386650002,820.9287181550001,1076.8813538250001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100171,G06007902,medium,False,5546.842,0.8079209467363546,2255.0987956299964,2229.155644369996,2255.0289759999996,2227.1061116,1565.4993417,2590.0335858,1872.3399452999997,2924.5540914999997,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100286,G06007508,medium,False,2334.996,0.7640705232624861,856.4063417399996,1028.3445628200002,856.3790732400003,844.75647574,569.4923629400002,1616.08825774,1317.47660344,2375.58525994,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,G06001311,high,False,5310.342000000001,0.8960338247617118,2116.4517256999998,2106.3611694400033,2116.3890902000003,2089.9475847000003,1463.6926339000001,2490.2517263,1810.8774198,2863.6316947,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100304,G06009903,medium,False,3721.251,0.8960338247617118,1453.3830731299968,1549.589867979998,1453.3174986200002,1434.06576502,977.20355832,2013.4135754199997,1517.8706846199998,2573.2144148199995,1,1,0,0,0.0,35.33629109336536,35.33629109336536,2.0,2168.615203358013,2012.0194272040785,1424.0804917220612,1723.2245275780047,0.46307667168326044,0.0,0.0,0.0,1062.3084,1062.3084,2124.6168,0.0,295.15596,,,,,,,,,,,,,
