scenario,care_status,n_buildings,mean_bill,median_bill,p10_bill,p90_bill,mean_kwh
e_tou_c,CARE,6240,1656.449101670608,1425.3164934125011,496.62817017449856,3103.5124182595005,6084.7411
e_tou_c,non-CARE,16482,3625.0532424356784,3037.5803515899997,1170.839317894001,6803.67447331401,8439.823918031792
e_tou_c_f,CARE,6240,1495.6932955907107,1297.8467665914998,499.5951541214994,2738.004950055498,6084.7411
e_tou_c_f,non-CARE,16482,3404.0218659617426,2902.05485498,1301.3948466840009,6130.023702254003,8439.823918031792
F0_WF0_ROE0,CARE,6240,1673.07758999965,1440.365926025,503.53043203320004,3134.0484832410025,6084.7411
F0_WF0_ROE0,non-CARE,16482,3645.972915454025,3056.33094111,1177.1575146779999,6835.521589479999,8439.823918031792
F0_WF0_ROE1.0,CARE,6240,1653.0159902055145,1423.2784457774999,496.72347877620007,3097.084376457502,6084.7411
F0_WF0_ROE1.0,non-CARE,16482,3603.3870279561365,3020.3346054,1161.84954828,6757.53214716,8439.823918031792
F0_WF1_ROE0,CARE,6240,1177.4622324774523,1004.0502621825,336.28134441590004,2254.3812523635015,6084.7411
F0_WF1_ROE0,non-CARE,16482,2594.2430770509127,2157.5432562,793.8878582299999,4933.04333396,8439.823918031792
F50_WF0_ROE0,CARE,6240,1413.7596600728061,1243.7114912690004,590.6034017429001,2470.7452994900004,6084.7411
F50_WF0_ROE0,non-CARE,16482,3598.938761495622,3170.0617779,1834.51899207,5889.25857541,8439.823918031792
F50_WF1_ROE1.0,CARE,6240,897.9062245993167,783.7844551875,416.89436368710005,1539.9635943185006,6084.7411
F50_WF1_ROE1.0,non-CARE,16482,2504.264967318726,2235.69955665,1426.0881378299998,3902.8410021399995,8439.823918031792
F100_WF0_ROE0,CARE,6240,1154.1039770533478,1040.8309025895,677.8572610434,1789.8238603090008,6084.7411
F100_WF0_ROE0,non-CARE,16482,3551.1759070363814,3284.9382548,2482.6964932700002,4936.28881429,8439.823918031792
