scenario,customer_type,n_buildings,mean_bill,median_bill,p10_bill,p90_bill,mean_kwh
tou_d_4_9,Non-adopter,13298,2783.9702984402466,2302.716490499998,865.9014671774967,5371.446840799992,7558.556361521621
tou_d_4_9,EV only,1690,3037.8574999644084,2578.109615499999,818.5933784675008,5916.973598400004,8166.17195021645
tou_d_4_9,PV + storage,2601,3327.2467520632836,2908.437910999997,897.329439200001,6207.334736999999,8807.361789363193
tou_d_4_9,PV + EV + storage,472,3174.165058593538,2848.884642499998,724.904864232504,6066.730346800003,8338.907751937984
tou_d_4_9,Fully electrified (HP+PV+EV+stor),24,3918.7603011968745,3627.288812499999,1123.8506616425004,8397.555176399996,10310.692600000002
tou_d_4_9_f,Non-adopter,13298,2687.9465437634226,2257.9689650000028,902.4343437500006,5045.9155949999995,7558.556361521621
tou_d_4_9_f,EV only,1690,2916.314465942899,2512.346159499997,883.683069949999,5539.812229000005,8166.17195021645
tou_d_4_9_f,PV + storage,2601,3179.8412433273743,2806.6872462499978,943.7478545000001,5798.279579999999,8807.361789363193
tou_d_4_9_f,PV + EV + storage,472,3044.0362767335805,2775.0873707499986,880.69477,5655.387759000002,8338.907751937984
tou_d_4_9_f,Fully electrified (HP+PV+EV+stor),24,3700.5362162916667,3482.943115,1207.7757347500003,7754.663196999994,10310.692600000002
F0_WF0_ROE0,Non-adopter,14616,2804.7221837082034,2332.619946050001,869.9794442800002,5394.803467549999,7558.556361521621
F0_WF0_ROE0,EV only,1848,3080.795830563822,2619.096184330001,838.94630367275,5942.160783879999,8166.17195021645
F0_WF0_ROE0,PV + storage,2858,3351.7984135310166,2933.316118050001,907.3197752602501,6252.969699519999,8807.361789363193
F0_WF0_ROE0,PV + EV + storage,516,3190.1092452932266,2887.9621306500007,725.0446346712502,6043.1101218,8338.907751937984
F0_WF0_ROE0,Fully electrified (HP+PV+EV+stor),25,3990.3894260361003,3665.460325300001,1164.4205023560007,8167.194492160006,10310.692600000002
F0_WF0_ROE1.0,Non-adopter,14616,2765.784055791555,2299.606149150001,856.3860417825001,5322.75519355,7558.556361521621
F0_WF0_ROE1.0,EV only,1848,3038.4786752037417,2583.5915998575,825.5503310632498,5863.6150623799995,8166.17195021645
F0_WF0_ROE1.0,PV + storage,2858,3305.906114942333,2891.6452446000008,893.5719885585,6169.9069512099995,8807.361789363193
F0_WF0_ROE1.0,PV + EV + storage,516,3146.382278907389,2846.538739300001,713.59860891375,5965.391483449999,8338.907751937984
F0_WF0_ROE1.0,Fully electrified (HP+PV+EV+stor),25,3936.5730620516993,3614.046126100002,1146.5264828760005,8062.678536300007,10310.692600000002
F0_WF1_ROE0,Non-adopter,14616,2275.15434943878,1877.6131593999999,684.1722801425001,4418.511485849998,7558.556361521621
F0_WF1_ROE0,EV only,1848,2505.3092889556247,2126.2473920437515,657.5187747839999,4869.527525579999,8166.17195021645
F0_WF1_ROE0,PV + storage,2858,2727.7883426731305,2375.9637656299997,721.37173529625,5123.053805940003,8807.361789363193
F0_WF1_ROE0,PV + EV + storage,516,2595.49017164032,2325.1509948500006,569.4681798087499,4986.5520742,8338.907751937984
F0_WF1_ROE0,Fully electrified (HP+PV+EV+stor),25,3258.5840676283005,2966.953752600002,921.3945652200005,6746.573757860006,10310.692600000002
F50_WF0_ROE0,Non-adopter,14616,2649.274626004927,2362.3161938499998,957.0308431162498,4634.756267050001,7558.556361521621
F50_WF0_ROE0,EV only,1848,2851.5299259087897,2582.75684944125,1015.6621168,5026.823388060001,8166.17195021645
F50_WF0_ROE0,PV + storage,2858,3051.219595672701,2792.0567004500003,1080.530200008,5250.900328770002,8807.361789363193
F50_WF0_ROE0,PV + EV + storage,516,2947.05161863311,2769.1741122999997,1011.06582325,5132.359438849999,8338.907751937984
F50_WF0_ROE0,Fully electrified (HP+PV+EV+stor),25,3489.408734606701,3387.787556700001,1323.364044195,6650.754434480003,10310.692600000002
F50_WF1_ROE1.0,Non-adopter,14616,2080.796647009322,1881.62145105,706.8905523450001,3590.0645105999997,7558.556361521621
F50_WF1_ROE1.0,EV only,1848,2233.76006077517,2034.5144228500003,772.7794689735,3873.481672659999,8166.17195021645
F50_WF1_ROE1.0,PV + storage,2858,2381.3654558988133,2192.70642085,891.48820707,4049.191803050002,8807.361789363193
F50_WF1_ROE1.0,PV + EV + storage,516,2308.74424171624,2217.69569245,825.4499938875,3933.861110249999,8338.907751937984
F50_WF1_ROE1.0,Fully electrified (HP+PV+EV+stor),25,2703.8326067861994,2638.0087153000004,965.0438074484999,5125.827585040002,10310.692600000002
F100_WF0_ROE0,Non-adopter,14616,2493.959382209053,2493.40880155,784.57784970375,3888.082900700001,7558.556361521621
F100_WF0_ROE0,EV only,1848,2622.4059816359527,2619.1668240500003,833.9135120145003,4101.919411310001,8166.17195021645
F100_WF0_ROE0,PV + storage,2858,2750.79261144522,2732.2356719,930.8377907887499,4247.8357686399995,8807.361789363193
F100_WF0_ROE0,PV + EV + storage,516,2704.1408370926697,2771.4687265500006,878.7372072412497,4168.4049131500005,8338.907751937984
F100_WF0_ROE0,Fully electrified (HP+PV+EV+stor),25,2988.61029373,3125.5215301999997,979.140116673,5134.703316960002,10310.692600000002
