scenario,care_status,n_buildings,mean_bill,median_bill,p10_bill,p90_bill,mean_kwh
tou_dr,CARE,1105,1758.7211430081622,1533.7936194587937,599.7288932649019,3317.076825292523,6071.145227149321
tou_dr,non-CARE,3212,3806.9198022948594,3300.638125734571,1350.5978201449973,6925.664678239135,8051.00876618929
tou_dr_f,CARE,1105,1789.062844465039,1568.226585827603,658.2011835826002,3311.6237736114676,6071.145227149321
tou_dr_f,non-CARE,3212,3637.9208935887104,3192.7310992294315,1479.2901155249992,6369.197861740243,8051.00876618929
F0_WF0_ROE0,CARE,1105,1758.7335682986431,1533.8045563154994,599.7340144000799,3317.103845249123,6071.145227149321
F0_WF0_ROE0,non-CARE,3212,3806.94671309999,3300.664055489575,1350.604404034,6925.689845208134,8051.00876618929
F0_WF0_ROE1.0,CARE,1105,1724.897598236283,1502.7015875444995,587.07628891128,3256.652120228723,6071.145227149321
F0_WF0_ROE1.0,non-CARE,3212,3735.7052348303455,3237.2133614395743,1322.568177955,6802.001280418133,8051.00876618929
F0_WF1_ROE0,CARE,1105,1560.7153499599056,1353.6014313075232,525.6641831086799,2963.3612771373228,6071.145227149321
F0_WF1_ROE0,non-CARE,3212,3390.0358904227173,2927.984603848642,1184.23788117,6201.847469768133,8051.00876618929
F50_WF0_ROE0,CARE,1105,1623.9759777704628,1449.4263129585233,825.45022815168,2729.463123678323,6071.145227149321
F50_WF0_ROE0,non-CARE,3212,3697.2989969417085,3325.5571694381315,1968.454667344,5915.528796473813,8051.00876618929
F50_WF1_ROE1.0,CARE,1105,1392.202658520263,1235.1915487395231,739.32186967482,2314.383795242109,6071.145227149321
F50_WF1_ROE1.0,non-CARE,3212,3209.32375816565,2891.8360831836417,1773.231197052,5067.602454494319,8051.00876618929
F100_WF0_ROE0,CARE,1105,1489.3494134843372,1365.1034916858446,1053.5246148642,2141.020989943523,6071.145227149321
F100_WF0_ROE0,non-CARE,3212,3587.921642625239,3352.841467623641,2587.3515179789997,4907.828188663812,8051.00876618929
