building_id,puma,income,is_care,annual_kwh,scaling_factor,e_tou_c_bill,e_tou_c_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,baseline_gas_therms,gas_savings_therms,pv_size_kw_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,self_sufficiency_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,e_tou_c_bill_s2_pv_stor,e_tou_c_f_bill_s2_pv_stor,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,self_sufficiency_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,e_tou_c_bill_s1_ev,e_tou_c_f_bill_s1_ev,pv_size_kw_s3,grid_import_kwh_s3_pv_stor_ev,grid_export_kwh_s3_pv_stor_ev,export_value_s3_pv_stor_ev,self_consumption_kwh_s3_pv_stor_ev,self_sufficiency_s3_pv_stor_ev,F0_WF0_ROE0_bill_s3_pv_stor_ev,F0_WF0_ROE1.0_bill_s3_pv_stor_ev,F0_WF1_ROE0_bill_s3_pv_stor_ev,F50_WF0_ROE0_bill_s3_pv_stor_ev,F50_WF1_ROE1.0_bill_s3_pv_stor_ev,F100_WF0_ROE0_bill_s3_pv_stor_ev,e_tou_c_bill_s3_pv_stor_ev,e_tou_c_f_bill_s3_pv_stor_ev,annual_kwh_s3
100045,G06009705,medium,False,5205.654,0.8624372092015187,2018.1803833299996,2027.1097057100017,2018.1148252,1991.8766378000005,1370.1445205000002,2396.9504034,1722.5088897,2775.3324505,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100051,G06008512,low,True,6960.434,0.8079209467363546,1926.4409767200025,1729.465697757,1926.37255746,1903.28478002,1355.80585166,1587.99149964,994.12948817,1249.23188029,1,1,0,1,0.0,73.85966852992888,73.85966852992888,3.743947032561288,2680.5503903678555,1664.8512304819242,1138.5750919545371,4599.5393695180765,0.6608121518741613,0.0,0.0,0.0,263.4528,263.4528,526.9044,0.0,73.32864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100080,G06008302,high,False,7938.257,0.7762566405843095,3421.794939089996,3235.555240379999,3421.6793676,3381.2307642999995,2422.190708,3429.7257365,2389.4243513999995,3437.1061815,0,0,1,0,10.098673448995061,71.77115030113917,71.77115030113917,,,,,,,,,,,,,,,9166.9289362944,0.0,0.0,0.0,0.0,3972.0382197131294,3925.660348608775,2826.3116797655684,3825.8485588939693,2633.3285224074734,3678.8701069811827,3972.169242173496,3703.5716635736867,,,,,,,,,,,,,,,
100088,G06008505,high,False,4662.001,0.8079209467363546,1816.2655657299988,1849.6333066999985,1816.2114994,1792.9999884999995,1243.27049,2274.1986304,1677.8413818999998,2731.7624314,1,1,1,0,15.238619846258029,31.86292413669084,31.86292413669084,2.5076431742255947,2258.87556500989,1547.6408357356502,1179.5539597407383,2648.160064264349,0.5680307799728804,0.0,0.0,0.0,1062.3084,1062.3084,2124.6168,0.0,295.15596,6516.033081294727,0.0,0.0,0.0,0.0,2646.6878355973486,2614.529223031623,1853.0778960656694,2871.9370495474404,2045.8860522888094,3096.5775302893844,2646.765217015712,2555.857187576532,2.5076431742255947,3747.58424102981,1181.2584037396962,1096.353726454508,3014.542496260303,0.4626346211952192,383.050577659124,364.4545001398101,0.0,1062.3084,1062.3084,2124.6168,383.10264742534264,464.0865695730251,6516.033081294727
100112,G06008101,low,True,7738.125,0.7640705232624861,2170.5917371905,1930.7298705029964,2170.53276258,2145.441351755,1551.13166416,1780.655396715,1135.9374299,1390.322294365,1,1,0,0,0.0,99.77669645790884,99.77669645790884,4.181730771255277,3084.8666539153514,1972.597675800701,1200.9133710034487,4991.714824199299,0.645080665432427,0.0,0.0,0.0,263.4528,263.4528,526.9044,0.0,73.32864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100128,G06001902,low,True,6389.996999999999,0.908243292944524,1631.1614808124996,1470.368474866002,1631.111310335,1610.359689835,1118.79440816,1354.1836386650002,820.9287181550001,1076.881353825,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100171,G06007902,medium,False,5546.842,0.8079209467363546,2255.0987956299964,2229.155644369996,2255.028976,2227.1061116,1565.4993417,2590.0335858,1872.3399453,2924.5540915,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100286,G06007508,medium,False,2334.996,0.7640705232624861,856.4063417399996,1028.3445628200002,856.3790732400003,844.75647574,569.4923629400002,1616.08825774,1317.47660344,2375.58525994,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,G06001311,high,False,5310.342000000001,0.8960338247617118,2116.4517257,2106.361169440004,2116.3890902000003,2089.9475847000003,1463.6926339,2490.2517263,1810.8774198,2863.6316947,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100304,G06009903,medium,False,3721.251,0.8960338247617118,1453.3830731299968,1549.589867979998,1453.3174986200002,1434.06576502,977.20355832,2013.41357542,1517.8706846199998,2573.2144148199995,1,1,0,0,0.0,35.33629109336536,35.33629109336536,2.032949283034343,2055.632019819511,1445.4783134079457,1107.340886498393,1903.6475865920547,0.5115611891248547,0.0,0.0,0.0,1062.3084,1062.3084,2124.6168,0.0,295.15596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100323,G06001906,medium,False,13071.339,0.908243292944524,5851.680058000002,5340.722118829997,5851.4258164,5783.546726,4171.9337546,5142.1506159,3394.082526,4431.840343,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100371,G06005302,high,False,10277.502,0.7640705232624861,4590.824096640002,4233.93406758,4590.686589600001,4538.6496523000005,3305.2839171,4297.157248199999,2959.2506103,4002.7458812,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100403,G06008105,high,False,3153.311,0.7640705232624861,1213.956213520003,1334.6007071900035,1213.9186738,1198.1921534,825.6942142,1866.7381474,1462.6471064999998,2519.2726509,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100407,G06008508,high,False,18833.393,0.8079209467363546,8521.055404679995,7604.514739890001,8520.8036766,8425.4911496,6166.4978432,7099.8095696,4649.3509887,5677.1993057,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100415,G06007705,medium,False,7174.753000000001,0.8960338247617118,3067.76019689,2945.22519628,3067.61458982,3030.12909752,2139.90067402,3151.33704042,2185.75927672,3234.50633362,1,1,0,0,0.0,88.51557539923347,88.51557539923347,3.9196251387768526,3218.772489951697,2119.5520350009338,1152.7869296543956,4337.725664999067,0.6045818810764728,225.61800225058732,208.76653419533477,0.0,1062.3084,1062.3084,2124.6168,225.70655413975896,333.9680205691133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100435,G06007511,high,False,3744.504,0.7640705232624861,1489.2266004600049,1570.243427340006,1489.178847,1470.4924634,1027.818261,2064.8570997,1584.6409448999998,2640.1971307,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100450,G06007513,medium,False,2972.117,0.7640705232624861,1130.664974329998,1263.3767997999978,1130.63172062,1115.80521752,764.6738890200002,1806.93825292,1426.02742182,2482.97745252,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100467,G06000300,medium,False,15653.365999999998,0.8960338247617118,6894.282360700006,6203.7557217199965,6894.073006599999,6815.3193723,4949.0586127,5904.810897299999,3880.3307028,4914.1738461,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100541,G06009901,high,False,11875.154,0.8960338247617118,5082.724685049998,4645.451596430001,5082.5777554,5023.2917567,3618.864986,4600.9942821,3077.4522125,4118.3384728,1,1,0,0,0.0,248.72625501831783,248.72625501831783,6.487491924146586,4071.1746727445743,2548.0595403146253,1220.2004198666968,8139.579059685373,0.6854293476687017,437.0056308305627,416.5709149452209,0.0,1062.3084,1062.3084,2124.6168,437.0534813112074,495.3539863679243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10055,G06001904,low,True,8058.309999999999,0.908243292944524,2199.355220517004,1967.1249930719985,2199.26260242,2172.35266313,1533.78971642,1760.7586493900003,1068.09855594,1321.8209560700002,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100550,G06000114,high,False,6901.573,0.7640705232624861,2777.6391275799965,2660.58966743,2777.59161136,2743.9948189600004,1949.6801163600005,2966.70611536,2105.00022126,3155.16587326,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100556,G06007510,medium,False,4986.541,0.7640705232624861,2075.8636293800014,2073.6267161499995,2075.7993044,2050.8039075,1458.5789891000002,2487.0757271,1844.6332683,2897.9083966,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100572,G06000115,low,True,2218.706,0.7640705232624861,533.3656715400019,530.5915863869988,533.348335806,526.124148251,354.98553411100005,608.667014696,423.015247551,683.856009386,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100593,G06008520,low,True,4432.013,0.8079209467363546,1111.504503778501,1024.6912635749989,1111.47073908,1097.12682794,757.4092043049999,1001.470654145,632.939612955,891.2079962150001,1,1,0,0,0.0,81.79381456219146,81.79381456219146,2.3839349557259,2189.5727032979567,1496.5190235421207,1164.4573971435598,2492.2926764578797,0.5623387558786221,0.0,0.0,0.0,263.4528,263.4528,526.9044,0.0,73.32864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100608,G06006717,low,True,8338.932,0.8960338247617118,2639.9557841865003,2349.9613264124987,2639.8600948200005,2611.508820895,1938.48945511,2163.47949688,1433.4945774500002,1686.686094565,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100636,G06000101,medium,False,6724.668000000001,0.7640705232624861,2826.3518849900024,2721.45905695,2826.2599022000004,2792.2041179000003,1984.9688166,3001.1763557,2125.5185029,3175.5151484,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100645,G06006705,low,True,3286.877,0.8960338247617118,1037.5979253379996,967.718977886502,1037.56123406,1026.415313885,761.8908059750001,1010.231628445,723.321488565,982.73862183,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100660,G06001309,medium,False,9578.957,0.8960338247617118,4056.9447450400007,3773.585741330001,4056.811474600001,4008.5877048,2865.6518424,3862.6978338,2622.8618665,3667.7416083,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
