Scenario,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,Fixed_CARE,Fixed_NonCARE,Scaling,Vol_Avg,Total_Revenue,summer_peak,summer_offpeak,winter_peak,winter_offpeak
F0_WF0_ROE0,0,False,0.0,0.0,0.0,1.0,0.4694,17238106734.3314,0.5894,0.4664,0.4646,0.4346
F0_WF0_ROE0.5,0,False,0.5,0.0,0.0,0.9946,0.4669,17145592050.2145,0.5863,0.4639,0.4621,0.4323
F0_WF0_ROE1.0,0,False,1.0,0.0,0.0,0.9893,0.4644,17053077366.0976,0.5831,0.4614,0.4596,0.4299
F0_WF0_ROE1.5,0,False,1.5,0.0,0.0,0.9839,0.4619,16960562681.9807,0.5799,0.4589,0.4571,0.4276
F0_WF1_ROE0,0,True,0.0,0.0,0.0,0.7343,0.3447,12658248893.993,0.4328,0.3425,0.3412,0.3191
F0_WF1_ROE0.5,0,True,0.5,0.0,0.0,0.729,0.3422,12565734209.8761,0.4297,0.34,0.3387,0.3168
F0_WF1_ROE1.0,0,True,1.0,0.0,0.0,0.7236,0.3397,12473219525.7592,0.4265,0.3375,0.3362,0.3145
F0_WF1_ROE1.5,0,True,1.5,0.0,0.0,0.7182,0.3372,12380704841.6423,0.4233,0.335,0.3337,0.3121
F25_WF0_ROE0,25,False,0.0,10.9772,44.2628,0.8598,0.4036,17238106734.3314,0.5068,0.4011,0.3995,0.3737
F25_WF0_ROE0.5,25,False,0.5,10.9772,44.2628,0.8545,0.4011,17145592050.2145,0.5037,0.3986,0.397,0.3714
F25_WF0_ROE1.0,25,False,1.0,10.9772,44.2628,0.8491,0.3986,17053077366.0976,0.5005,0.396,0.3945,0.369
F25_WF0_ROE1.5,25,False,1.5,10.9772,44.2628,0.8437,0.3961,16960562681.9807,0.4973,0.3935,0.392,0.3667
F25_WF1_ROE0,25,True,0.0,10.9772,44.2628,0.5942,0.2789,12658248893.993,0.3502,0.2771,0.276,0.2582
F25_WF1_ROE0.5,25,True,0.5,10.9772,44.2628,0.5888,0.2764,12565734209.8761,0.347,0.2746,0.2736,0.2559
F25_WF1_ROE1.0,25,True,1.0,10.9772,44.2628,0.5834,0.2739,12473219525.7592,0.3439,0.2721,0.2711,0.2536
F25_WF1_ROE1.5,25,True,1.5,10.9772,44.2628,0.5781,0.2714,12380704841.6423,0.3407,0.2696,0.2686,0.2512
F50_WF0_ROE0,50,False,0.0,21.9544,88.5257,0.7197,0.3378,17238106734.3314,0.4242,0.3357,0.3344,0.3128
F50_WF0_ROE0.5,50,False,0.5,21.9544,88.5257,0.7143,0.3353,17145592050.2145,0.421,0.3332,0.3319,0.3104
F50_WF0_ROE1.0,50,False,1.0,21.9544,88.5257,0.7089,0.3328,17053077366.0976,0.4179,0.3307,0.3294,0.3081
F50_WF0_ROE1.5,50,False,1.5,21.9544,88.5257,0.7036,0.3303,16960562681.9807,0.4147,0.3282,0.3269,0.3058
F50_WF1_ROE0,50,True,0.0,21.9544,88.5257,0.454,0.2131,12658248893.993,0.2676,0.2118,0.2109,0.1973
F50_WF1_ROE0.5,50,True,0.5,21.9544,88.5257,0.4486,0.2106,12565734209.8761,0.2644,0.2093,0.2084,0.195
F50_WF1_ROE1.0,50,True,1.0,21.9544,88.5257,0.4433,0.2081,12473219525.7592,0.2613,0.2067,0.2059,0.1926
F50_WF1_ROE1.5,50,True,1.5,21.9544,88.5257,0.4379,0.2056,12380704841.6423,0.2581,0.2042,0.2034,0.1903
F75_WF0_ROE0,75,False,0.0,32.9316,132.7885,0.5795,0.272,17238106734.3314,0.3416,0.2703,0.2692,0.2519
F75_WF0_ROE0.5,75,False,0.5,32.9316,132.7885,0.5741,0.2695,17145592050.2145,0.3384,0.2678,0.2667,0.2495
F75_WF0_ROE1.0,75,False,1.0,32.9316,132.7885,0.5688,0.267,17053077366.0976,0.3353,0.2653,0.2643,0.2472
F75_WF0_ROE1.5,75,False,1.5,32.9316,132.7885,0.5634,0.2645,16960562681.9807,0.3321,0.2628,0.2618,0.2449
F75_WF1_ROE0,75,True,0.0,32.9316,132.7885,0.3138,0.1473,12658248893.993,0.185,0.1464,0.1458,0.1364
F75_WF1_ROE0.5,75,True,0.5,32.9316,132.7885,0.3085,0.1448,12565734209.8761,0.1818,0.1439,0.1433,0.1341
F75_WF1_ROE1.0,75,True,1.0,32.9316,132.7885,0.3031,0.1423,12473219525.7592,0.1787,0.1414,0.1408,0.1317
F75_WF1_ROE1.5,75,True,1.5,32.9316,132.7885,0.2977,0.1398,12380704841.6423,0.1755,0.1389,0.1383,0.1294
F100_WF0_ROE0,100,False,0.0,43.9087,177.0514,0.4393,0.2063,17238106734.3314,0.259,0.2049,0.2041,0.1909
F100_WF0_ROE0.5,100,False,0.5,43.9087,177.0514,0.434,0.2037,17145592050.2145,0.2558,0.2024,0.2016,0.1886
F100_WF0_ROE1.0,100,False,1.0,43.9087,177.0514,0.4286,0.2012,17053077366.0976,0.2526,0.1999,0.1991,0.1863
F100_WF0_ROE1.5,100,False,1.5,43.9087,177.0514,0.4232,0.1987,16960562681.9807,0.2495,0.1974,0.1966,0.1839
F100_WF1_ROE0,100,True,0.0,43.9087,177.0514,0.1737,0.0815,12658248893.993,0.1024,0.081,0.0807,0.0755
F100_WF1_ROE0.5,100,True,0.5,43.9087,177.0514,0.1683,0.079,12565734209.8761,0.0992,0.0785,0.0782,0.0731
F100_WF1_ROE1.0,100,True,1.0,43.9087,177.0514,0.1629,0.0765,12473219525.7592,0.096,0.076,0.0757,0.0708
F100_WF1_ROE1.5,100,True,1.5,43.9087,177.0514,0.1576,0.074,12380704841.6423,0.0929,0.0735,0.0732,0.0685
