Scenario,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,Fixed_CARE,Fixed_NonCARE,Scaling,Vol_Avg,Total_Revenue,summer_peak,summer_offpeak,winter_peak,winter_midpeak,winter_offpeak
F0_WF0_ROE0,0,False,0.0,0.0,0.0,1.0,0.4468,13220934064.8193,0.5927,0.387,0.557,0.417,0.377
F0_WF0_ROE0.5,0,False,0.5,0.0,0.0,0.9939,0.4441,13139699481.7888,0.5891,0.3846,0.5536,0.4144,0.3747
F0_WF0_ROE1.0,0,False,1.0,0.0,0.0,0.9877,0.4413,13058464898.7584,0.5854,0.3822,0.5502,0.4119,0.3724
F0_WF0_ROE1.5,0,False,1.5,0.0,0.0,0.9816,0.4386,12977230315.7279,0.5818,0.3799,0.5467,0.4093,0.3701
F0_WF1_ROE0,0,True,0.0,0.0,0.0,0.8328,0.3721,11010863019.5525,0.4936,0.3223,0.4639,0.3473,0.314
F0_WF1_ROE0.5,0,True,0.5,0.0,0.0,0.8267,0.3694,10929628436.522,0.49,0.3199,0.4605,0.3447,0.3117
F0_WF1_ROE1.0,0,True,1.0,0.0,0.0,0.8205,0.3667,10848393853.4915,0.4863,0.3176,0.457,0.3422,0.3093
F0_WF1_ROE1.5,0,True,1.5,0.0,0.0,0.8144,0.3639,10767159270.461,0.4827,0.3152,0.4536,0.3396,0.307
F25_WF0_ROE0,25,False,0.0,9.5118,38.3541,0.8566,0.3828,13220934064.8193,0.5077,0.3315,0.4771,0.3572,0.3229
F25_WF0_ROE0.5,25,False,0.5,9.5118,38.3541,0.8505,0.38,13139699481.7888,0.5041,0.3291,0.4737,0.3546,0.3206
F25_WF0_ROE1.0,25,False,1.0,9.5118,38.3541,0.8443,0.3773,13058464898.7584,0.5004,0.3268,0.4703,0.3521,0.3183
F25_WF0_ROE1.5,25,False,1.5,9.5118,38.3541,0.8382,0.3745,12977230315.7279,0.4968,0.3244,0.4669,0.3495,0.316
F25_WF1_ROE0,25,True,0.0,9.5118,38.3541,0.6895,0.3081,11010863019.5525,0.4087,0.2668,0.384,0.2875,0.2599
F25_WF1_ROE0.5,25,True,0.5,9.5118,38.3541,0.6833,0.3053,10929628436.522,0.405,0.2644,0.3806,0.2849,0.2576
F25_WF1_ROE1.0,25,True,1.0,9.5118,38.3541,0.6772,0.3026,10848393853.4915,0.4014,0.2621,0.3772,0.2824,0.2553
F25_WF1_ROE1.5,25,True,1.5,9.5118,38.3541,0.671,0.2998,10767159270.461,0.3977,0.2597,0.3738,0.2798,0.253
F50_WF0_ROE0,50,False,0.0,19.0236,76.7081,0.7132,0.3187,13220934064.8193,0.4228,0.276,0.3973,0.2974,0.2689
F50_WF0_ROE0.5,50,False,0.5,19.0236,76.7081,0.7071,0.316,13139699481.7888,0.4191,0.2736,0.3939,0.2949,0.2666
F50_WF0_ROE1.0,50,False,1.0,19.0236,76.7081,0.701,0.3132,13058464898.7584,0.4155,0.2713,0.3904,0.2923,0.2643
F50_WF0_ROE1.5,50,False,1.5,19.0236,76.7081,0.6948,0.3105,12977230315.7279,0.4118,0.2689,0.387,0.2897,0.2619
F50_WF1_ROE0,50,True,0.0,19.0236,76.7081,0.5461,0.244,11010863019.5525,0.3237,0.2113,0.3042,0.2277,0.2059
F50_WF1_ROE0.5,50,True,0.5,19.0236,76.7081,0.5399,0.2413,10929628436.522,0.32,0.209,0.3007,0.2252,0.2036
F50_WF1_ROE1.0,50,True,1.0,19.0236,76.7081,0.5338,0.2385,10848393853.4915,0.3164,0.2066,0.2973,0.2226,0.2012
F50_WF1_ROE1.5,50,True,1.5,19.0236,76.7081,0.5277,0.2358,10767159270.461,0.3127,0.2042,0.2939,0.22,0.1989
F75_WF0_ROE0,75,False,0.0,28.5354,115.0622,0.5699,0.2546,13220934064.8193,0.3378,0.2205,0.3174,0.2376,0.2148
F75_WF0_ROE0.5,75,False,0.5,28.5354,115.0622,0.5637,0.2519,13139699481.7888,0.3341,0.2182,0.314,0.2351,0.2125
F75_WF0_ROE1.0,75,False,1.0,28.5354,115.0622,0.5576,0.2492,13058464898.7584,0.3305,0.2158,0.3106,0.2325,0.2102
F75_WF0_ROE1.5,75,False,1.5,28.5354,115.0622,0.5514,0.2464,12977230315.7279,0.3268,0.2134,0.3072,0.2299,0.2079
F75_WF1_ROE0,75,True,0.0,28.5354,115.0622,0.4027,0.1799,11010863019.5525,0.2387,0.1558,0.2243,0.1679,0.1518
F75_WF1_ROE0.5,75,True,0.5,28.5354,115.0622,0.3966,0.1772,10929628436.522,0.235,0.1535,0.2209,0.1654,0.1495
F75_WF1_ROE1.0,75,True,1.0,28.5354,115.0622,0.3904,0.1745,10848393853.4915,0.2314,0.1511,0.2175,0.1628,0.1472
F75_WF1_ROE1.5,75,True,1.5,28.5354,115.0622,0.3843,0.1717,10767159270.461,0.2278,0.1487,0.214,0.1602,0.1449
F100_WF0_ROE0,100,False,0.0,38.0472,153.4163,0.4265,0.1906,13220934064.8193,0.2528,0.1651,0.2376,0.1778,0.1608
F100_WF0_ROE0.5,100,False,0.5,38.0472,153.4163,0.4204,0.1878,13139699481.7888,0.2491,0.1627,0.2341,0.1753,0.1585
F100_WF0_ROE1.0,100,False,1.0,38.0472,153.4163,0.4142,0.1851,13058464898.7584,0.2455,0.1603,0.2307,0.1727,0.1562
F100_WF0_ROE1.5,100,False,1.5,38.0472,153.4163,0.4081,0.1823,12977230315.7279,0.2419,0.1579,0.2273,0.1702,0.1538
F100_WF1_ROE0,100,True,0.0,38.0472,153.4163,0.2593,0.1159,11010863019.5525,0.1537,0.1004,0.1444,0.1081,0.0978
F100_WF1_ROE0.5,100,True,0.5,38.0472,153.4163,0.2532,0.1131,10929628436.522,0.1501,0.098,0.141,0.1056,0.0955
F100_WF1_ROE1.0,100,True,1.0,38.0472,153.4163,0.247,0.1104,10848393853.4915,0.1464,0.0956,0.1376,0.103,0.0931
F100_WF1_ROE1.5,100,True,1.5,38.0472,153.4163,0.2409,0.1076,10767159270.461,0.1428,0.0932,0.1342,0.1005,0.0908
