Scenario,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,Fixed_CARE,Fixed_NonCARE,Scaling,Vol_Avg,Total_Revenue,summer_peak,summer_midpeak,summer_offpeak,winter_peak,winter_midpeak,winter_offpeak
F0_WF0_ROE0,0,False,0.0,0.0,0.0,1.0,0.5295,3575397107.5152,0.6,0.527,0.45,0.5816,0.519,0.5008
F0_WF0_ROE0.5,0,False,0.5,0.0,0.0,0.9917,0.5251,3545551623.5115,0.595,0.5226,0.4462,0.5767,0.5147,0.4967
F0_WF0_ROE1.0,0,False,1.0,0.0,0.0,0.9833,0.5207,3515706139.5078,0.59,0.5182,0.4425,0.5718,0.5103,0.4925
F0_WF0_ROE1.5,0,False,1.5,0.0,0.0,0.975,0.5163,3485860655.5041,0.585,0.5138,0.4387,0.567,0.506,0.4883
F0_WF1_ROE0,0,True,0.0,0.0,0.0,0.9022,0.4778,3225825844.121,0.5413,0.4755,0.406,0.5247,0.4682,0.4519
F0_WF1_ROE0.5,0,True,0.5,0.0,0.0,0.8939,0.4733,3195980360.1173,0.5363,0.4711,0.4022,0.5198,0.4639,0.4477
F0_WF1_ROE1.0,0,True,1.0,0.0,0.0,0.8855,0.4689,3166134876.1136,0.5313,0.4667,0.3985,0.515,0.4596,0.4435
F0_WF1_ROE1.5,0,True,1.5,0.0,0.0,0.8772,0.4645,3136289392.1099,0.5263,0.4623,0.3947,0.5101,0.4553,0.4393
F25_WF0_ROE0,25,False,0.0,18.3804,45.9511,0.8578,0.4542,3575397107.5152,0.5147,0.4521,0.386,0.4989,0.4452,0.4296
F25_WF0_ROE0.5,25,False,0.5,18.3804,45.9511,0.8495,0.4498,3545551623.5115,0.5097,0.4477,0.3823,0.494,0.4409,0.4254
F25_WF0_ROE1.0,25,False,1.0,18.3804,45.9511,0.8411,0.4454,3515706139.5078,0.5047,0.4433,0.3785,0.4892,0.4365,0.4213
