building_id,income,annual_kwh,pre_fixed_bill,post_fixed_bill,pre_fixed_tou_bill,post_fixed_tou_bill
372090,medium,8249.338248738424,3940.5464791163786,3761.2328162095505,4393.373746315073,4157.099529388924
283615,medium,12159.875213780826,6034.134805780043,5602.728589034305,6544.831064589105,6056.504035325545
13017,high,2468.364732100267,1049.4499494997494,1218.2503188635367,1323.402181218128,1459.648172340323
229938,low,8514.453440593297,4082.4995042268647,3664.265713903073,4617.603982639105,4141.919561236976
383758,high,5361.568860659001,2456.5887792057897,2455.9586130976377,2814.2846589587307,2763.927676303423
35315,low,8594.93844164237,4125.494019417646,3702.0831895804404,4684.368205637049,4203.360155765875
367400,high,2711.6180968425674,1152.871550053586,1309.219779676215,1443.383354689106,1563.7917897731145
511701,medium,9697.405031866663,4673.554667185457,4405.979860221091,5253.420091024017,4923.30141184942
288993,low,3209.0919834971023,1368.5869371532815,1277.135136660963,1694.4678474050688,1561.0366999244163
88113,medium,5611.648985408058,2528.389184919857,2519.115799451894,2986.8731082292675,2920.552546788126
265853,high,7399.879644613914,3485.194228196078,3360.7103314158567,3963.037634621339,3781.21919247917
133958,high,7049.998213260229,3297.885681210516,3195.9559268715757,3774.9191229429453,3615.899685744496
299061,low,6116.760250718592,2798.153447872952,2534.5699910914263,3265.021971437725,2944.126900488736
274959,medium,4982.40319698613,2249.096196852419,2273.4507409242024,2645.6042846457535,2619.7166296272253
459797,high,4448.522636790009,1965.3496301866994,2023.8705040242085,2391.678158794799,2400.1285176641927
215013,low,2055.1342164890984,873.7608634825051,841.8871829404284,1098.555022403073,1039.488871990979
238974,medium,4472.443093991018,1976.7984237961368,2033.9407810662412,2368.1380458193744,2375.068668975374
407485,medium,3238.4666700288963,1407.705100447675,1533.3694343336724,1757.9369469899132,1844.2032205083228
412962,low,2965.2417971465675,1260.7022024748348,1182.240114878902,1586.7878677401422,1469.061395179379
165676,high,11849.587219578478,5825.040370874127,5418.813227543977,6352.08710162741,5883.718101314594
295415,low,5301.120150250918,2361.442988086527,2150.444586803428,2824.1690138784315,2555.9897208956086
76579,high,2321.3688380205886,986.9531751728335,1163.2782643545597,1242.4942431763795,1388.0999824833673
99475,low,2477.0294442311542,1097.849537747893,1038.9930249862555,1362.618806805281,1276.1165362658066
219467,medium,4934.234272976037,2211.8793011556195,2240.7156353616233,2665.310831412158,2642.499786194887
238003,high,13197.743962912007,6589.496773409272,6091.2184824664055,7132.068021424427,6576.467732841943
42919,medium,3011.263684352503,1290.7471313611416,1430.4943943069386,1624.5479024319884,1725.5625211739502
395072,medium,4091.5433627433404,1744.4721196491464,1829.5903784426318,2179.164459855491,2210.7467695931005
17634,medium,3338.053239297749,1419.2067152198308,1543.4877299001791,1786.1212599354837,1866.182635923366
42634,low,3219.1062594444875,1368.6352172654183,1277.1778078444552,1723.273995360941,1589.2038703320204
389485,high,12363.98347079132,6143.398350722848,5698.835523902222,6675.264672648057,6173.563358033282
326096,high,3766.4295090567357,1667.0392906230602,1761.4776487187678,1976.4703596315076,2028.936441470867
345121,medium,1687.8739804223935,717.6165015163849,926.3701924585625,897.4110090137046,1083.8503385563668
291620,high,6397.402419129595,2948.536602469836,2888.6725674292525,3409.197385951426,3292.2870191702195
96287,high,2803.415404745596,1191.9000934816374,1343.5492189127106,1488.7115318390372,1603.2948024322159
462472,low,22976.03803688316,11612.716817549755,10287.764837743025,12444.417136867929,11036.869636880974
369184,high,6280.787159751123,2886.0120932814607,2833.676744955384,3367.472072656955,3257.890184845238
391889,high,3867.4971130124804,1699.290698514186,1789.846450925103,2096.818758260592,2142.6619325584443
303324,high,5745.833437685106,2603.9161161932443,2585.5482616454487,3103.904998509453,3028.5661449398585
110058,medium,8567.532840243732,4067.936953296275,3873.285639447545,4681.595541815741,4424.132942128424
25055,medium,6174.5883446221105,2829.34042297144,2783.8290003794527,3260.0414721154634,3157.4776596093975
470117,high,3173.0351640028257,1349.0476303274413,1481.775920282137,1685.8542579726354,1776.6286446670915
60703,medium,8439.111059747336,4041.7656630362117,3850.264039563534,4572.037805342543,4323.085842434854
211226,low,2494.612185352673,1060.6093167245424,1006.2387589563394,1341.1144858973398,1253.7019427741136
149937,high,3542.265603705588,1510.3864088940481,1623.6890193881527,1885.8899297779135,1952.8239378615606
444770,high,6732.7729906478135,3129.103022272486,3047.4966363400954,3639.1989377813034,3500.2911358709584
296977,low,10202.631060716303,4943.56993638001,4421.654826712342,5504.814536264805,4920.7766562123
182557,low,2365.4206097620095,1005.6822264464159,957.9249854326988,1256.0307459901155,1177.0025029078922
308346,medium,2834.1185301900914,1204.9538342956191,1355.0312667351886,1522.60981188921,1635.1328116069149
522485,high,20239.227474585245,10359.25562993099,9407.054224518337,10928.894733985446,9919.696930198297
197048,medium,5279.330329373663,2350.0634099094214,2362.262552098284,2825.9035300336204,2780.867065767703
298192,high,3883.210912432341,1652.203448080706,1748.43119375403,2070.8544841871235,2115.8419474472703
347642,medium,3963.7579500812044,1696.2294922152596,1787.155951772602,2107.1588384577126,2146.9089306485143
78034,high,5748.619906375899,2559.2512914711083,2546.2633820250144,3062.7018122215372,2987.5651322716712
307677,high,10732.269948118048,5227.02019684477,4892.801680124203,5719.884746239903,5323.599115760613
405269,high,2512.440220615883,1068.1890841970487,1234.7332293037218,1338.3434100437123,1471.6503445804676
40966,medium,5657.829172903108,2539.32612103333,2528.7363311754416,3058.2409151723264,2988.6956056494364
73921,medium,5657.55892150863,2552.8113126010417,2540.597222971733,3016.9985154993865,2947.764405363122
259102,low,7850.34450921925,3694.391765977525,3322.8919464406663,4273.2070824575485,3840.1730147533517
87034,high,7999.9375693677775,3809.7394186203255,3646.176353233511,4430.228771301677,4208.827445531807
61019,high,2590.61489312113,1101.4258279593796,1263.968211580509,1369.8882770744588,1498.2487026054687
517707,low,1477.1663127103157,628.032029511918,625.7445259642767,784.0779987639138,762.2570781246695
399010,high,7951.380738342919,3780.9675901813944,3620.8690967803927,4258.76459705917,4041.5813476384546
167265,medium,5655.24574070734,2551.547151841614,2539.4852829645547,3004.584616239503,2935.4853340105374
49240,medium,6068.632684441691,2772.4778530233166,2733.8133550796274,3242.740241746058,3146.9165052789967
421502,medium,6636.937853005222,3077.118340450844,3001.771545112619,3544.2049984126984,3411.826681274273
17825,high,12162.76027220315,6036.071741377733,5604.432279794902,6496.537949716686,6008.142054165631
492696,low,3688.8100834490583,1581.8041778142372,1464.6802034838713,1986.095306322303,1821.5918773898843
519971,medium,6035.13742678968,2712.122905304508,2680.727483260319,3207.5535805754207,3113.9746987653944
487340,low,4057.7429660706684,1725.1899994546056,1590.8027770214478,2176.318096024816,1988.1880520205789
47407,high,2514.174393152485,1068.9263849927106,1235.3817578072349,1338.4987251316447,1471.6813181569648
287420,high,11710.512033619998,5793.403914932248,5390.984522754942,6325.929820397144,5866.1342131661695
463368,high,4948.318362581296,2192.070912211933,2223.293461402432,2680.4564901145704,2656.54628996488
512778,high,10416.3772214083,5101.538178740788,4782.427486468317,5684.793543123272,5308.068949032536
34369,high,14491.807468687168,7282.408913031514,6700.695881197554,7707.241105111977,7068.374060446846
74676,high,11906.512722448813,5855.937598543288,5445.990050937514,6409.299313246754,5936.848740203089
385867,low,2627.023246553024,1116.9052035044838,1055.7565235134348,1404.4970315475375,1308.59349990688
399142,low,1898.3641635030308,807.1085077549485,783.2598862252283,1006.6811888136385,957.7466897919666
162512,low,2574.697870357137,1094.65854656104,1036.1884025774584,1385.492868732965,1292.945984953845
517463,low,308.0552148736395,146.73000000000002,188.53204870629497,163.22757956635763,216.7154689166718
28575,medium,5537.761968931836,2493.0129788439376,2487.999141933674,2953.7697680281663,2892.008169602492
495294,high,3867.1634313090126,1644.1632044553398,1741.3590684066316,2059.1793132136318,2105.2515069601186
234902,low,3139.276564547195,1334.6948241828857,1247.3238968437145,1666.3108739319803,1537.5411224036134
66594,low,3606.0784468277334,1533.1603124532794,1421.8937967601676,1917.0569342039414,1758.0956074676092
135667,high,11140.171779357675,5488.245653834938,5122.570883052548,6039.19225082977,5616.24906450999
148322,medium,7621.380254560371,3604.0059817387187,3465.2157496242344,4058.4287773175392,3862.6527186352746
412598,medium,5034.233706512445,2276.3502200856333,2297.4230796117095,2716.1210922593827,2686.7793531982547
273383,medium,9903.090322374632,4783.60313359436,4502.777205103989,5348.768579337807,5005.453913418184
524754,medium,12623.261369248214,6239.39428864215,5783.274075037376,6740.011475174377,6222.104972932344
412883,medium,3595.6440506380077,1528.7240245692553,1639.818965617096,1911.036657661514,1974.5910830537841
374427,low,5646.123229758282,2503.7329970618744,2275.602845287629,3024.1442314172396,2733.6390437677587
510902,low,3898.77211607801,1666.5478579716416,1539.220817172102,2064.197661707135,1886.4425064634408
135451,medium,8094.913464450088,3857.84887853868,3688.492976151262,4412.95456684183,4186.147989208868
28433,low,5719.345948768733,2585.7718098517194,2347.7615748946782,3045.6253802916863,2750.5142622020144
505106,high,3837.6147246525366,1632.3690478681679,1730.9849114178428,2043.961565890022,2091.9216518052544
165568,low,4166.505680282555,1787.3676563220345,1645.4933637483389,2235.3393122523476,2040.1808922055811
252032,medium,11111.396084074568,5260.404525242691,4922.172673854807,5987.1473405038805,5566.249821777791
64134,low,7202.812898211539,3387.415504439773,3052.8776937172065,3853.193511538472,3462.6019698316395
508432,low,4934.403269230633,2209.116296748508,2016.458118908183,2679.1809681534432,2434.281080818609
394706,medium,6678.918091388188,3105.200762723654,3026.472298958118,3660.465065499208,3524.7083725010475
220046,high,5512.058911853482,2477.321629713488,2474.1972893439224,2938.7311982831025,2878.8243143871
102003,medium,4513.880690391931,1944.5139925608196,2005.5458706000115,2409.244817084697,2413.6260764633835
465907,low,4820.900535807041,2119.121449213734,1937.3008303588783,2572.894085368226,2335.7166802901324
75208,medium,2825.4726247598687,1201.277941142906,1351.7979574814483,1504.7056126310008,1617.844011268568
208735,high,11919.49693782532,5905.722715402275,5489.778807490939,6269.814325488904,5797.260833197125
525278,medium,4558.080874259705,1946.971968480237,2007.7086938802975,2447.2344744906814,2448.6272183004903
124247,low,1728.5813989131586,734.9236675619185,719.7662257515539,923.7983153174373,885.7397017778093
443234,high,3329.2369114842013,1418.9398335179703,1543.2528124280084,1788.2111806975504,1868.8155011066065
208445,medium,5041.685942195022,2259.717128666346,2282.793601212445,2738.0269561190803,2708.0450703836123
314300,low,4237.706583294394,1855.5593670872408,1705.4728360482316,2299.164171642822,2099.2348740656994
