building_id,income,annual_kwh,pre_fixed_bill,post_fixed_bill,pre_fixed_tou_bill,post_fixed_tou_bill
283615,medium,17052.984,8653.819969,7906.972975680001,9178.45762929,8374.85865593
13017,high,2935.9079999999994,1248.23064528,1393.0974747599998,1574.0733128000002,1680.2195033600003
229938,low,11940.652000000002,5916.89525337,5277.778726939999,6475.718331800001,5779.11218322
383758,high,6377.126,2977.4555083999994,2914.10776702,3347.3500642199997,3231.5480327800005
35315,low,12053.524000000001,5977.45937771,5331.050216179999,6569.348340869999,5865.27634667
367400,high,3225.237,1381.3379620599999,1510.1779506900002,1716.7806211900001,1804.0893981099998
511701,medium,11534.231000000002,5656.44123541,5270.51539357,6248.492320450001,5799.937761710001
88113,medium,7869.765,3737.201398439999,3582.37286985,4188.78470619,3977.00673569
265853,high,10377.576,5079.55340273,4763.08998162,5557.75583108,5184.003870140001
133958,high,9886.903,4816.72355203,4531.90792841,5293.93881706,4952.16013378
299061,low,8578.132,4116.19953747,3693.9078835400005,4578.860100100001,4099.33021836
459797,high,6238.599,2867.9662203199996,2817.8036316300004,3354.0845327800002,3247.1651472000003
215013,low,2882.1160000000004,1225.3604385600001,1151.1535605200002,1540.6113048700001,1428.2697629899997
412962,low,4158.449,1789.08158767,1647.0006856300004,2225.3080434,2030.70138634
165676,high,14094.067000000001,7026.959530169999,6476.007232490001,7555.26243583,6942.27098551
295415,low,7434.280000000001,3503.7345508099997,3155.1908573000005,3960.6088187799996,3555.007435680001
99475,low,3473.781,1584.2650220399998,1466.84020617,1910.93381322,1760.11591288
219467,medium,6919.760000000001,3228.2293555099996,3134.6870359,3737.82643029,3587.06611589
395072,medium,5737.971999999999,2595.5458785200003,2578.18605884,3056.0557583,2981.5765730600006
17634,medium,4681.279,2032.2198663699999,2082.6910037300004,2504.8527828,2498.3605404000004
345121,medium,2367.071,1006.3839063600001,1180.36950187,1258.5273540300002,1401.2193349899999
462472,low,16212.11,7990.91601879,7102.071295,8780.898568539998,7809.30698168
110058,medium,10190.345,4937.41854996,4638.07144285,5568.35609634,5206.2197084
149937,high,4967.666,2187.57286918,2219.33760742,2644.76816027,2619.86612411
444770,high,9442.027,4578.692795389999,4322.53885709,5103.60510842,4790.03094112
296977,low,12135.154,5978.34090528,5331.827246180001,6547.504436990001,5838.95202025
182557,low,3317.261,1410.3666867600002,1313.8847361700002,1761.4549358699999,1621.1185962700001
197048,medium,7403.722,3487.39246217,3362.6438668400006,3963.0413006699996,3781.1121042900004
298192,high,5445.807,2439.12818901,2440.6028910900004,2904.1620711,2848.4822456
347642,medium,5558.7660000000005,2500.02345617,2494.16563872,2955.0752228899996,2892.05051897
87034,high,11219.095999999998,5530.8905201,5160.08079292,6212.943720650001,5783.68080509
