scenario,customer_type,n_buildings,mean_bill,median_bill,p10_bill,p90_bill,mean_kwh
tou_d_4_9,Non-adopter,13298,2772.6552984402465,2291.401490499998,854.5864671774966,5360.1318407999925,7558.556361521621
tou_d_4_9,EV only,1690,3026.5424999644083,2566.794615499999,807.2783784675007,5905.658598400005,8166.17195021645
tou_d_4_9,PV + storage,2601,3315.931752063283,2897.1229109999967,886.014439200001,6196.019737,8807.361789363193
tou_d_4_9,PV + EV + storage,472,3162.8500585935376,2837.569642499998,713.5898642325039,6055.415346800003,8338.907751937984
tou_d_4_9,Fully electrified (HP+PV+EV+stor),24,3907.445301196875,3615.9738124999994,1112.5356616425004,8386.240176399995,10310.692600000002
tou_d_4_9_f,Non-adopter,13298,2676.6315437634235,2246.653965000003,891.1193437500007,5034.600595,7558.556361521621
tou_d_4_9_f,EV only,1690,2904.9994659429,2501.0311594999976,872.3680699499989,5528.497229000005,8166.17195021645
tou_d_4_9_f,PV + storage,2601,3168.5262433273742,2795.3722462499977,932.4328545000002,5786.96458,8807.361789363193
tou_d_4_9_f,PV + EV + storage,472,3032.7212767335805,2763.772370749999,869.3797699999999,5644.072759000002,8338.907751937984
tou_d_4_9_f,Fully electrified (HP+PV+EV+stor),24,3689.221216291667,3471.6281150000004,1196.4607347500005,7743.348196999995,10310.692600000002
F0_WF0_ROE0,Non-adopter,14616,2804.7221837082034,2332.619946050001,869.9794442800002,5394.803467549999,7558.556361521621
F0_WF0_ROE0,EV only,1848,3080.795830563822,2619.096184330001,838.94630367275,5942.160783879999,8166.17195021645
F0_WF0_ROE0,PV + storage,2858,3351.7984135310166,2933.316118050001,907.3197752602501,6252.969699519999,8807.361789363193
F0_WF0_ROE0,PV + EV + storage,516,3190.1092452932266,2887.9621306500007,725.0446346712502,6043.1101218,8338.907751937984
F0_WF0_ROE0,Fully electrified (HP+PV+EV+stor),25,3990.3894260361003,3665.460325300001,1164.4205023560007,8167.194492160006,10310.692600000002
F0_WF0_ROE1.0,Non-adopter,14616,2770.4472638587836,2303.7227488000008,858.0002755950002,5331.4189473,7558.556361521621
F0_WF0_ROE1.0,EV only,1848,3043.5489311621673,2587.6855109025,827.1937036974999,5873.063573709999,8166.17195021645
F0_WF0_ROE1.0,PV + storage,2858,3311.4109187765075,2896.733896200001,895.2627778064999,6179.831499909999,8807.361789363193
F0_WF0_ROE1.0,PV + EV + storage,516,3151.6234757295106,2851.541017400001,714.97697332125,5974.72421445,8338.907751937984
F0_WF0_ROE1.0,Fully electrified (HP+PV+EV+stor),25,3943.0206981619,3620.257061600001,1148.6954406870004,8075.240584380006,10310.692600000002
F0_WF1_ROE0,Non-adopter,14616,2339.8400218129864,1932.91328875625,706.91539232125,4537.22781215,7558.556361521621
F0_WF1_ROE0,EV only,1848,2575.6039275365665,2186.88310879375,679.9024555935001,4999.962976899999,8166.17195021645
F0_WF1_ROE0,PV + storage,2858,2804.009567676414,2443.865202143749,742.1719452007501,5261.0763710300025,8807.361789363193
F0_WF1_ROE0,PV + EV + storage,516,2668.121975669564,2393.898341700001,588.47109218375,5115.81523285,8338.907751937984
F0_WF1_ROE0,Fully electrified (HP+PV+EV+stor),25,3347.9723991378,3052.2710530000018,951.076232214,6920.084670920005,10310.692600000002
F50_WF0_ROE0,Non-adopter,14616,2757.315303148815,2454.3988977999998,1001.7627939975,4834.494983449999,7558.556361521621
F50_WF0_ROE0,EV only,1848,2969.173181112811,2687.9478566,1056.2400325717504,5249.08751419,8166.17195021645
F50_WF0_ROE0,PV + storage,2858,3178.9834132010155,2904.7338981000003,1111.30846320975,5485.852105980002,8807.361789363193
F50_WF0_ROE0,PV + EV + storage,516,3068.6299498465214,2876.2407044,1014.61042195,5362.7555145999995,8338.907751937984
F50_WF0_ROE0,Fully electrified (HP+PV+EV+stor),25,3639.8260555634006,3530.571617100002,1392.404615859,6944.891118040003,10310.692600000002
F50_WF1_ROE1.0,Non-adopter,14616,2277.8076322860848,1966.0631964387503,786.2707272899999,4144.61627425,7558.556361521621
F50_WF1_ROE1.0,EV only,1848,2472.81088659666,2172.96961398,802.7787935302498,4523.82289888,8166.17195021645
F50_WF1_ROE1.0,PV + storage,2858,2662.069134781841,2386.63008662875,852.05827263375,4740.794559370002,8807.361789363193
F50_WF1_ROE1.0,PV + EV + storage,516,2558.2945565694085,2357.3603954999994,756.1767484537501,4625.139233699999,8338.907751937984
F50_WF1_ROE1.0,Fully electrified (HP+PV+EV+stor),25,3094.4543921435998,2927.8569133000015,1100.1254157400003,6109.027518100002,10310.692600000002
F100_WF0_ROE0,Non-adopter,14616,2710.0540755404863,2663.5787098,881.7657896475001,4288.707142400001,7558.556361521621
F100_WF0_ROE0,EV only,1848,2857.704973996876,2814.2989737,939.8661566355001,4542.954330000001,8166.17195021645
F100_WF0_ROE0,PV + storage,2858,3006.329286390862,2951.2838838999996,1050.7216339620002,4708.554273100001,8807.361789363193
F100_WF0_ROE0,PV + EV + storage,516,2947.3059110734257,2997.70193765,991.44269488125,4600.23216415,8338.907751937984
F100_WF0_ROE0,Fully electrified (HP+PV+EV+stor),25,3289.4504737488005,3397.3391202999996,1117.265949171,5722.970595220002,10310.692600000002
