zip_code,utility,acronym,type,climate_zone,city,county,utility_baseline_territory,summer_baseline_allowance,winter_baseline_allowance,puma,percentpuma,,,,,,,,,,,,,,,
90001,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3742,0.703935664,,,,,,,,,,,,,,,
90002,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3751,0.677016216,,,259,,,,,,,,,,,,
90003,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3751,0.869136229,,,,,,,,,,,,,,,
90004,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3732,0.475864539,,,,,,,,,,,,,,,
90005,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3730,0.500678283,,,,,,,,,,,,,,,
90006,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3733,0.455700931,,,,,,,,,,,,,,,
90007,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3746,0.776286054,,,,,,,,,,,,,,,
90008,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3747,0.97392021,,,,,,,,,,,,,,,
90011,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3745,0.937035558,,,,,,,,,,,,,,,
90012,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3744,0.579059067,,,,,,,,,,,,,,,
90013,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3744,1,,,,,,,,,,,,,,,
90014,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3744,1,,,,,,,,,,,,,,,
90015,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3744,0.703950509,,,,,,,,,,,,,,,
90016,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3747,0.980317195,,,,,,,,,,,,,,,
90017,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3734,0.774603696,,,,,,,,,,,,,,,
90018,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3747,0.503635162,,,,,,,,,,,,,,,
90019,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3730,0.847247326,,,,,,,,,,,,,,,
90020,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3730,0.51682875,,,,,,,,,,,,,,,
90021,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3744,1,,,,,,,,,,,,,,,
90022,Southern California Edison,SCE,IOU,9,Los Angeles,Los Angeles County,9,16.9,12,3743,0.80696368,,,,,,,,,,,,,,,
90023,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3744,0.637467072,,,,,,,,,,,,,,,
90024,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3776,0.98566986,,,,,,,,,,,,,,,
90025,Los Angeles Department of Water & Power,LADWP,POU,6,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3776,0.908479067,,,,,,,,,,,,,,,
90026,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3734,0.997579903,,,,,,,,,,,,,,,
