Scenario,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,Fixed_CARE,Fixed_NonCARE,Vol_Avg,Vol_Avg_Check,Total_Revenue,summer_peak,summer_midpeak,summer_offpeak,winter_peak,winter_midpeak,winter_offpeak
F0_WF0_ROE0,0,False,0.0,0.0,0.0,0.3247,0.3247,1561695600.0,0.3679,0.3231,0.2759,0.3566,0.3182,0.3071
F0_WF0_ROE0.5,0,False,0.5,0.0,0.0,0.3195,0.3195,1536626001.141,0.362,0.3179,0.2715,0.3508,0.3131,0.3022
F0_WF0_ROE1.0,0,False,1.0,0.0,0.0,0.3143,0.3143,1511556402.282,0.3561,0.3128,0.2671,0.3451,0.308,0.2972
F0_WF0_ROE1.5,0,False,1.5,0.0,0.0,0.309,0.309,1486486803.4231,0.3502,0.3076,0.2626,0.3394,0.3029,0.2923
F0_WF1_ROE0,0,True,0.0,0.0,0.0,0.2929,0.2929,1409006573.4352,0.3319,0.2915,0.2489,0.3217,0.2871,0.2771
F0_WF1_ROE0.5,0,True,0.5,0.0,0.0,0.2877,0.2877,1383936974.5762,0.326,0.2863,0.2445,0.316,0.282,0.2721
F0_WF1_ROE1.0,0,True,1.0,0.0,0.0,0.2825,0.2825,1358867375.7172,0.3201,0.2812,0.2401,0.3103,0.2769,0.2672
F0_WF1_ROE1.5,0,True,1.5,0.0,0.0,0.2773,0.2773,1333797776.8583,0.3142,0.276,0.2357,0.3045,0.2718,0.2623
F25_WF0_ROE0,25,False,0.0,6.7265,16.8163,0.2785,0.2785,1561695600.0,0.3156,0.2772,0.2367,0.3059,0.273,0.2634
F25_WF0_ROE0.5,25,False,0.5,6.7265,16.8163,0.2733,0.2733,1536626001.141,0.3097,0.272,0.2323,0.3002,0.2679,0.2585
F25_WF0_ROE1.0,25,False,1.0,6.7265,16.8163,0.2681,0.2681,1511556402.282,0.3038,0.2668,0.2278,0.2944,0.2628,0.2536
F25_WF0_ROE1.5,25,False,1.5,6.7265,16.8163,0.2629,0.2629,1486486803.4231,0.2979,0.2616,0.2234,0.2887,0.2576,0.2486
F25_WF1_ROE0,25,True,0.0,6.7265,16.8163,0.2468,0.2468,1409006573.4352,0.2796,0.2456,0.2097,0.271,0.2419,0.2334
F25_WF1_ROE0.5,25,True,0.5,6.7265,16.8163,0.2416,0.2416,1383936974.5762,0.2737,0.2404,0.2053,0.2653,0.2368,0.2285
F25_WF1_ROE1.0,25,True,1.0,6.7265,16.8163,0.2363,0.2363,1358867375.7172,0.2678,0.2352,0.2009,0.2596,0.2316,0.2235
F25_WF1_ROE1.5,25,True,1.5,6.7265,16.8163,0.2311,0.2311,1333797776.8583,0.2619,0.23,0.1964,0.2538,0.2265,0.2186
F50_WF0_ROE0,50,False,0.0,13.453,33.6326,0.2324,0.2324,1561695600.0,0.2633,0.2312,0.1975,0.2552,0.2277,0.2198
F50_WF0_ROE0.5,50,False,0.5,13.453,33.6326,0.2271,0.2271,1536626001.141,0.2574,0.2261,0.193,0.2495,0.2226,0.2148
F50_WF0_ROE1.0,50,False,1.0,13.453,33.6326,0.2219,0.2219,1511556402.282,0.2515,0.2209,0.1886,0.2437,0.2175,0.2099
F50_WF0_ROE1.5,50,False,1.5,13.453,33.6326,0.2167,0.2167,1486486803.4231,0.2456,0.2157,0.1842,0.238,0.2124,0.205
F50_WF1_ROE0,50,True,0.0,13.453,33.6326,0.2006,0.2006,1409006573.4352,0.2273,0.1996,0.1705,0.2203,0.1966,0.1897
F50_WF1_ROE0.5,50,True,0.5,13.453,33.6326,0.1954,0.1954,1383936974.5762,0.2214,0.1945,0.166,0.2146,0.1915,0.1848
F50_WF1_ROE1.0,50,True,1.0,13.453,33.6326,0.1902,0.1902,1358867375.7172,0.2155,0.1893,0.1616,0.2089,0.1864,0.1799
F50_WF1_ROE1.5,50,True,1.5,13.453,33.6326,0.185,0.185,1333797776.8583,0.2096,0.1841,0.1572,0.2031,0.1813,0.175
F75_WF0_ROE0,75,False,0.0,20.1795,50.4489,0.1862,0.1862,1561695600.0,0.211,0.1853,0.1582,0.2045,0.1825,0.1761
F75_WF0_ROE0.5,75,False,0.5,20.1795,50.4489,0.181,0.181,1536626001.141,0.2051,0.1801,0.1538,0.1988,0.1774,0.1712
F75_WF0_ROE1.0,75,False,1.0,20.1795,50.4489,0.1758,0.1758,1511556402.282,0.1992,0.1749,0.1494,0.193,0.1723,0.1662
F75_WF0_ROE1.5,75,False,1.5,20.1795,50.4489,0.1706,0.1706,1486486803.4231,0.1933,0.1697,0.1449,0.1873,0.1672,0.1613
F75_WF1_ROE0,75,True,0.0,20.1795,50.4489,0.1544,0.1544,1409006573.4352,0.175,0.1537,0.1312,0.1696,0.1514,0.1461
F75_WF1_ROE0.5,75,True,0.5,20.1795,50.4489,0.1492,0.1492,1383936974.5762,0.1691,0.1485,0.1268,0.1639,0.1463,0.1411
F75_WF1_ROE1.0,75,True,1.0,20.1795,50.4489,0.144,0.144,1358867375.7172,0.1632,0.1433,0.1224,0.1582,0.1412,0.1362
F75_WF1_ROE1.5,75,True,1.5,20.1795,50.4489,0.1388,0.1388,1333797776.8583,0.1573,0.1381,0.118,0.1524,0.136,0.1313
