Scenario,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,Fixed_CARE,Fixed_NonCARE,Scaling,Vol_Avg,Total_Revenue,summer_peak,summer_offpeak,winter_peak,winter_offpeak
F0_WF0_ROE0,0,False,0.0,0.0,0.0,1.0,0.4694,16596242559.1678,0.5894,0.4664,0.4646,0.4346
F0_WF0_ROE0.5,0,False,0.5,0.0,0.0,0.9951,0.4671,16507172676.8686,0.5865,0.4641,0.4623,0.4325
F0_WF0_ROE1.0,0,False,1.0,0.0,0.0,0.9902,0.4648,16418102794.5693,0.5836,0.4618,0.46,0.4303
F0_WF0_ROE1.5,0,False,1.5,0.0,0.0,0.9853,0.4625,16329032912.2701,0.5807,0.4596,0.4578,0.4282
F0_WF1_ROE0,0,True,0.0,0.0,0.0,0.7569,0.3553,12186916594.5371,0.4461,0.353,0.3517,0.329
F0_WF1_ROE0.5,0,True,0.5,0.0,0.0,0.752,0.353,12097846712.2379,0.4433,0.3508,0.3494,0.3268
F0_WF1_ROE1.0,0,True,1.0,0.0,0.0,0.7471,0.3507,12008776829.9386,0.4404,0.3485,0.3471,0.3247
F0_WF1_ROE1.5,0,True,1.5,0.0,0.0,0.7422,0.3484,11919706947.6394,0.4375,0.3462,0.3448,0.3226
F25_WF0_ROE0,25,False,0.0,11.2548,45.3823,0.8718,0.4092,16596242559.1678,0.5138,0.4066,0.405,0.3789
F25_WF0_ROE0.5,25,False,0.5,11.1001,44.7585,0.8686,0.4078,16507172676.8686,0.512,0.4051,0.4036,0.3775
F25_WF0_ROE1.0,25,False,1.0,10.9464,44.1388,0.8654,0.4063,16418102794.5693,0.5101,0.4037,0.4021,0.3761
F25_WF0_ROE1.5,25,False,1.5,10.7938,43.5232,0.8623,0.4048,16329032912.2701,0.5083,0.4022,0.4006,0.3747
F25_WF1_ROE0,25,True,0.0,4.7398,19.1121,0.7029,0.33,12186916594.5371,0.4143,0.3279,0.3266,0.3055
F25_WF1_ROE0.5,25,True,0.5,4.6361,18.6938,0.6992,0.3282,12097846712.2379,0.4121,0.3261,0.3248,0.3039
F25_WF1_ROE1.0,25,True,1.0,4.5333,18.2795,0.6954,0.3265,12008776829.9386,0.4099,0.3244,0.3231,0.3022
F25_WF1_ROE1.5,25,True,1.5,4.4316,17.8694,0.6917,0.3247,11919706947.6394,0.4077,0.3226,0.3214,0.3006
F50_WF0_ROE0,50,False,0.0,22.5096,90.7646,0.7435,0.349,16596242559.1678,0.4382,0.3468,0.3454,0.3231
F50_WF0_ROE0.5,50,False,0.5,22.2002,89.517,0.7421,0.3484,16507172676.8686,0.4374,0.3461,0.3448,0.3225
F50_WF0_ROE1.0,50,False,1.0,21.8929,88.2776,0.7407,0.3477,16418102794.5693,0.4366,0.3455,0.3441,0.3219
F50_WF0_ROE1.5,50,False,1.5,21.5875,87.0465,0.7393,0.3471,16329032912.2701,0.4358,0.3448,0.3435,0.3213
F50_WF1_ROE0,50,True,0.0,9.4796,38.2242,0.6489,0.3046,12186916594.5371,0.3825,0.3027,0.3015,0.282
F50_WF1_ROE0.5,50,True,0.5,9.2721,37.3875,0.6463,0.3034,12097846712.2379,0.381,0.3015,0.3003,0.2809
F50_WF1_ROE1.0,50,True,1.0,9.0666,36.5591,0.6438,0.3022,12008776829.9386,0.3795,0.3003,0.2991,0.2798
F50_WF1_ROE1.5,50,True,1.5,8.8632,35.7388,0.6412,0.301,11919706947.6394,0.3779,0.2991,0.2979,0.2787
F75_WF0_ROE0,75,False,0.0,33.7644,136.1468,0.6153,0.2888,16596242559.1678,0.3627,0.287,0.2859,0.2674
F75_WF0_ROE0.5,75,False,0.5,33.3003,134.2755,0.6156,0.289,16507172676.8686,0.3629,0.2872,0.286,0.2676
F75_WF0_ROE1.0,75,False,1.0,32.8393,132.4165,0.616,0.2892,16418102794.5693,0.3631,0.2873,0.2862,0.2677
F75_WF0_ROE1.5,75,False,1.5,32.3813,130.5697,0.6163,0.2893,16329032912.2701,0.3633,0.2875,0.2863,0.2678
F75_WF1_ROE0,75,True,0.0,14.2194,57.3363,0.5949,0.2793,12186916594.5371,0.3506,0.2775,0.2764,0.2585
F75_WF1_ROE0.5,75,True,0.5,13.9082,56.0813,0.5935,0.2786,12097846712.2379,0.3498,0.2768,0.2757,0.2579
F75_WF1_ROE1.0,75,True,1.0,13.6,54.8386,0.5921,0.278,12008776829.9386,0.349,0.2762,0.2751,0.2573
F75_WF1_ROE1.5,75,True,1.5,13.2948,53.6082,0.5907,0.2773,11919706947.6394,0.3482,0.2755,0.2744,0.2567
F100_WF0_ROE0,100,False,0.0,45.0192,181.5291,0.487,0.2286,16596242559.1678,0.2871,0.2272,0.2263,0.2117
F100_WF0_ROE0.5,100,False,0.5,44.4004,179.034,0.4892,0.2296,16507172676.8686,0.2883,0.2282,0.2273,0.2126
F100_WF0_ROE1.0,100,False,1.0,43.7857,176.5553,0.4913,0.2306,16418102794.5693,0.2896,0.2291,0.2282,0.2135
F100_WF0_ROE1.5,100,False,1.5,43.1751,174.093,0.4933,0.2316,16329032912.2701,0.2908,0.2301,0.2292,0.2144
F100_WF1_ROE0,100,True,0.0,18.9592,76.4484,0.5409,0.2539,12186916594.5371,0.3188,0.2523,0.2513,0.2351
F100_WF1_ROE0.5,100,True,0.5,18.5442,74.7751,0.5407,0.2538,12097846712.2379,0.3187,0.2522,0.2512,0.235
F100_WF1_ROE1.0,100,True,1.0,18.1333,73.1181,0.5405,0.2537,12008776829.9386,0.3186,0.2521,0.2511,0.2349
F100_WF1_ROE1.5,100,True,1.5,17.7264,71.4776,0.5402,0.2536,11919706947.6394,0.3184,0.252,0.251,0.2348
