Scenario,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,Fixed_CARE,Fixed_NonCARE,Vol_Avg,Total_Revenue,Vol_Revenue,Scaling_Factor,baseline_credit,summer_peak_wd,summer_offpeak_wd,winter_peak_wd,winter_midpeak_wd,winter_offpeak_wd,summer_peak_we,summer_offpeak_we,winter_peak_we,winter_midpeak_we,winter_offpeak_we
F0_WF0_ROE0,0,False,0.0,0.0,0.0,0.42672,7745773000.0,7745773000.0,1.0,0.1,0.627,0.387,0.557,0.417,0.377,0.507,0.387,0.557,0.417,0.377
F0_WF0_ROE0.5,0,False,0.5,0.0,0.0,0.4241,7698179945.0,7698179945.0,0.993856,0.09939,0.62315,0.38462,0.55358,0.41444,0.37468,0.50388,0.38462,0.55358,0.41444,0.37468
F0_WF0_ROE1.0,0,False,1.0,0.0,0.0,0.42148,7650586890.0,7650586890.0,0.987711,0.09877,0.61929,0.38224,0.55016,0.41188,0.37237,0.50077,0.38224,0.55016,0.41188,0.37237
F0_WF0_ROE1.5,0,False,1.5,0.0,0.0,0.41886,7602993835.0,7602993835.0,0.981567,0.09816,0.61544,0.37987,0.54673,0.40931,0.37005,0.49765,0.37987,0.54673,0.40931,0.37005
F0_WF1_ROE0,0,True,0.0,0.0,0.0,0.35539,6450954605.0,6450954605.0,0.832835,0.08328,0.52219,0.32231,0.46389,0.34729,0.31398,0.42225,0.32231,0.46389,0.34729,0.31398
F0_WF1_ROE0.5,0,True,0.5,0.0,0.0,0.35277,6403361550.0,6403361550.0,0.826691,0.08267,0.51834,0.31993,0.46047,0.34473,0.31166,0.41913,0.31993,0.46047,0.34473,0.31166
F0_WF1_ROE1.0,0,True,1.0,0.0,0.0,0.35015,6355768495.0,6355768495.0,0.820547,0.08205,0.51448,0.31755,0.45704,0.34217,0.30935,0.41602,0.31755,0.45704,0.34217,0.30935
F0_WF1_ROE1.5,0,True,1.5,0.0,0.0,0.34753,6308175440.0,6308175440.0,0.814402,0.08144,0.51063,0.31517,0.45362,0.33961,0.30703,0.4129,0.31517,0.45362,0.33961,0.30703
F25_WF0_ROE0,25,False,0.0,6.42831,25.87393,0.36554,7745773000.0,6635214274.0,0.856624,0.08566,0.5371,0.33151,0.47714,0.35721,0.32295,0.43431,0.33151,0.47714,0.35721,0.32295
F25_WF0_ROE0.5,25,False,0.5,6.42831,25.87393,0.36292,7698179945.0,6587621219.0,0.85048,0.08505,0.53325,0.32914,0.47372,0.35465,0.32063,0.43119,0.32914,0.47372,0.35465,0.32063
