Scenario,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,Fixed_CARE,Fixed_NonCARE,Vol_Avg,Vol_Avg_Check,Total_Revenue,summer_peak,summer_midpeak,summer_offpeak,winter_peak,winter_midpeak,winter_offpeak
F0_WF0_ROE0,0,False,0.0,0.0,0.0,0.3247,0.3247,1561695600.0,0.3679,0.3231,0.2759,0.3566,0.3182,0.3071
F0_WF0_ROE0.5,0,False,0.5,0.0,0.0,0.322,0.322,1548659408.5933,0.3648,0.3204,0.2736,0.3536,0.3156,0.3045
F0_WF0_ROE1.0,0,False,1.0,0.0,0.0,0.3193,0.3193,1535623217.1867,0.3617,0.3177,0.2713,0.3506,0.3129,0.302
F0_WF0_ROE1.5,0,False,1.5,0.0,0.0,0.3165,0.3165,1522587025.78,0.3587,0.315,0.269,0.3476,0.3102,0.2994
F0_WF1_ROE0,0,True,0.0,0.0,0.0,0.2929,0.2929,1409006573.4352,0.3319,0.2915,0.2489,0.3217,0.2871,0.2771
F0_WF1_ROE0.5,0,True,0.5,0.0,0.0,0.2902,0.2902,1395970382.0285,0.3288,0.2888,0.2466,0.3187,0.2844,0.2745
F0_WF1_ROE1.0,0,True,1.0,0.0,0.0,0.2875,0.2875,1382934190.6218,0.3258,0.2861,0.2443,0.3158,0.2818,0.2719
F0_WF1_ROE1.5,0,True,1.5,0.0,0.0,0.2848,0.2848,1369897999.2152,0.3227,0.2834,0.242,0.3128,0.2791,0.2694
F25_WF0_ROE0,25,False,0.0,6.7265,16.8163,0.2785,0.2785,1561695600.0,0.3156,0.2772,0.2367,0.3059,0.273,0.2634
F25_WF0_ROE0.5,25,False,0.5,6.7265,16.8163,0.2758,0.2758,1548659408.5933,0.3125,0.2745,0.2344,0.3029,0.2703,0.2609
F25_WF0_ROE1.0,25,False,1.0,6.7265,16.8163,0.2731,0.2731,1535623217.1867,0.3094,0.2718,0.2321,0.2999,0.2677,0.2583
F25_WF0_ROE1.5,25,False,1.5,6.7265,16.8163,0.2704,0.2704,1522587025.78,0.3064,0.2691,0.2298,0.2969,0.265,0.2557
F25_WF1_ROE0,25,True,0.0,6.7265,16.8163,0.2468,0.2468,1409006573.4352,0.2796,0.2456,0.2097,0.271,0.2419,0.2334
F25_WF1_ROE0.5,25,True,0.5,6.7265,16.8163,0.2441,0.2441,1395970382.0285,0.2765,0.2429,0.2074,0.268,0.2392,0.2308
F25_WF1_ROE1.0,25,True,1.0,6.7265,16.8163,0.2413,0.2413,1382934190.6218,0.2735,0.2402,0.2051,0.2651,0.2365,0.2283
F25_WF1_ROE1.5,25,True,1.5,6.7265,16.8163,0.2386,0.2386,1369897999.2152,0.2704,0.2375,0.2028,0.2621,0.2339,0.2257
F50_WF0_ROE0,50,False,0.0,13.453,33.6326,0.2324,0.2324,1561695600.0,0.2633,0.2312,0.1975,0.2552,0.2277,0.2198
F50_WF0_ROE0.5,50,False,0.5,13.453,33.6326,0.2296,0.2296,1548659408.5933,0.2602,0.2285,0.1952,0.2522,0.2251,0.2172
F50_WF0_ROE1.0,50,False,1.0,13.453,33.6326,0.2269,0.2269,1535623217.1867,0.2571,0.2258,0.1928,0.2492,0.2224,0.2146
F50_WF0_ROE1.5,50,False,1.5,13.453,33.6326,0.2242,0.2242,1522587025.78,0.2541,0.2232,0.1905,0.2462,0.2198,0.2121
F50_WF1_ROE0,50,True,0.0,13.453,33.6326,0.2006,0.2006,1409006573.4352,0.2273,0.1996,0.1705,0.2203,0.1966,0.1897
F50_WF1_ROE0.5,50,True,0.5,13.453,33.6326,0.1979,0.1979,1395970382.0285,0.2242,0.197,0.1682,0.2173,0.194,0.1872
F50_WF1_ROE1.0,50,True,1.0,13.453,33.6326,0.1952,0.1952,1382934190.6218,0.2212,0.1943,0.1659,0.2144,0.1913,0.1846
F50_WF1_ROE1.5,50,True,1.5,13.453,33.6326,0.1925,0.1925,1369897999.2152,0.2181,0.1916,0.1636,0.2114,0.1886,0.182
F75_WF0_ROE0,75,False,0.0,20.1795,50.4489,0.1862,0.1862,1561695600.0,0.211,0.1853,0.1582,0.2045,0.1825,0.1761
F75_WF0_ROE0.5,75,False,0.5,20.1795,50.4489,0.1835,0.1835,1548659408.5933,0.2079,0.1826,0.1559,0.2015,0.1798,0.1735
F75_WF0_ROE1.0,75,False,1.0,20.1795,50.4489,0.1808,0.1808,1535623217.1867,0.2048,0.1799,0.1536,0.1985,0.1772,0.171
F75_WF0_ROE1.5,75,False,1.5,20.1795,50.4489,0.1781,0.1781,1522587025.78,0.2018,0.1772,0.1513,0.1956,0.1745,0.1684
F75_WF1_ROE0,75,True,0.0,20.1795,50.4489,0.1544,0.1544,1409006573.4352,0.175,0.1537,0.1312,0.1696,0.1514,0.1461
F75_WF1_ROE0.5,75,True,0.5,20.1795,50.4489,0.1517,0.1517,1395970382.0285,0.1719,0.151,0.1289,0.1666,0.1487,0.1435
F75_WF1_ROE1.0,75,True,1.0,20.1795,50.4489,0.149,0.149,1382934190.6218,0.1689,0.1483,0.1266,0.1637,0.1461,0.141
F75_WF1_ROE1.5,75,True,1.5,20.1795,50.4489,0.1463,0.1463,1369897999.2152,0.1658,0.1456,0.1243,0.1607,0.1434,0.1384
F100_WF0_ROE0,100,False,0.0,26.9061,67.2652,0.14,0.14,1561695600.0,0.1587,0.1394,0.119,0.1538,0.1372,0.1324
F100_WF0_ROE0.5,100,False,0.5,26.9061,67.2652,0.1373,0.1373,1548659408.5933,0.1556,0.1367,0.1167,0.1508,0.1346,0.1299
F100_WF0_ROE1.0,100,False,1.0,26.9061,67.2652,0.1346,0.1346,1535623217.1867,0.1525,0.134,0.1144,0.1478,0.1319,0.1273
F100_WF0_ROE1.5,100,False,1.5,26.9061,67.2652,0.1319,0.1319,1522587025.78,0.1494,0.1313,0.1121,0.1449,0.1293,0.1248
F100_WF1_ROE0,100,True,0.0,26.9061,67.2652,0.1083,0.1083,1409006573.4352,0.1227,0.1078,0.092,0.1189,0.1061,0.1024
F100_WF1_ROE0.5,100,True,0.5,26.9061,67.2652,0.1056,0.1056,1395970382.0285,0.1196,0.1051,0.0897,0.1159,0.1035,0.0999
F100_WF1_ROE1.0,100,True,1.0,26.9061,67.2652,0.1029,0.1029,1382934190.6218,0.1166,0.1024,0.0874,0.113,0.1008,0.0973
F100_WF1_ROE1.5,100,True,1.5,26.9061,67.2652,0.1002,0.1002,1369897999.2152,0.1135,0.0997,0.0851,0.11,0.0982,0.0947
