ExternalReference,climatezone,dac,age,gender,income,education,race,ideology,born_us,employment,home_type,household_numpeople,home_own,home_area,home_age,charging_work,rangeanxiety,vehicle_next_used,vehicle_num,primary_heating_type,primary_cooling_type,hotwater_energy,hotwater_nextelec,heatpump_direct,therm_summer,therm_winter,ac_unit_number,kitchen_range_type,induction_direct,heating_cost_burden,elec_savemoney,elec_health,elec_safety,upfrontpayback,lowincome_sup,outage_impact,outage_generatorown,outage_generatorplan,elec_avail,hvac_avail,ccinsure_lost,solstor_wtp_dv,ev_wtp_pc,heatpump_wtp_pc,induction_dv,PV,PS,EV,HP,IC,yale_worried,cclive,ccpastmove,ccfuturemove,homevac,ccmove_where,charging_access,charging_5mile_r,charging_5mile_f,previous_heating_type,electrification,peer_EV,peer_IC,peer_HP,peer_PV,cost_combo_winter_final,cost_combo_summer_final,vehicle_comb_miles,ccinsure_both,pid_composite,future_EV_0,future_EV_low,future_EV_high,future_PV,future_PS_0,future_PS_low,future_PS_high,future_HP_0,future_HP_low,future_HP_high,future_IC_0,future_IC_low,future_IC_high,wt_ca,tractid
ULWHV,4,1,60,Female,75000,some college,Non-hispanic other,4,1,0,SF,3,1,2750,Older,0,150,0,2,Gas,Room,Gas,0,0,7,1,1,Elec,0,2,1,3,2,1,0,2,0,2,4,4,0,NA,8000,20000,NA,0,0,0,0,0,4,4,1,1,2,0,none,1,1,Gas,No_prefer,peer,peer,none,peer,350,350,12500,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433313400599849,06085504418
ZPOVC,4,0,90,Male,225000,college,White,2,1,0,SF,2,1,1750,Older,0,350,1,4,Gas,Central,Gas,0,0,5,5,NA,Elec,0,5,2,3,2,1,0,1,1,1,4,4,0,NA,8000,6000,NA,1,1,1,0,1,2,1,1,1,1,1,own,1,1,Gas,Half_elec,neighbor,neighbor,none,neighbor,NA,NA,5000,1,7,1,1,1,1,1,1,1,0,0,0,1,1,1,1.12405613760474,06085512005
UHRJG,4,1,21,Male,225000,HS,Asian,6,1,0,SF,4,1,1750,BrandNew,0,250,0,3,Gas,Central,Gas,1,1,7,3,NA,Gas,1,4,2,5,3,0,0,2,0,1,4,4,0,NA,6000,4000,NA,1,0,1,0,0,4,2,1,1,1,0,own,1,1,Gas,Full_elec,peer,peer,none,peer,250,75,12500,1,1,1,1,1,1,NA,NA,NA,0,1,1,NA,NA,NA,1.43442804484919,06085504506
XVTTR,4,0,40,Female,225000,graduate,Asian,NA,0,1,SF,2,1,2250,BrandNew,1,350,0,2,Gas,Central,Gas,0,0,7,2,NA,Gas,0,3,5,3,2,0,0,2,0,1,4,4,0,NA,8000,4000,NA,0,0,0,0,0,3,2,1,2,1,0,potential,1,1,Gas,Half_elec,neighbor,peer,peer,peer,350,150,12500,1,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,1.10666818447199,06085512025
VKLHU,4,0,60,Male,162500,college,Asian,3,0,1,SF,6,0,1250,BrandNew,1,350,0,4,Gas,Central,Gas,NA,NA,6,2,NA,Gas,NA,3,2,3,2,0,0,3,0,2,2,3,0,NA,6000,NA,NA,0,0,0,0,0,3,2,1,2,1,1,none,1,1,Gas,Half_elec,peer,peer,none,peer,250,250,12500,1,6,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,3.30089262524954,06085504414
PZHII,4,0,70,Male,137500,some college,White,5,1,0,SF,1,1,1250,Older,0,350,1,2,Gas,Central,Gas,1,0,4,4,NA,Elec,1,3,3,3,2,0,0,3,0,1,4,4,0,7500,NA,NA,400,0,0,0,0,1,4,3,3,1,1,0,none,1,1,Gas,Full_fossil,peer,none,none,peer,250,250,20000,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3.22607359142927,06085512024
MDCPU,4,0,21,Other,85000,some college,Non-hispanic other,7,0,1,MF,2,0,250,BrandNew,0,350,0,2,Not know,None,Gas,NA,NA,7,1,NA,Gas,NA,1,1,3,2,0,0,3,0,1,1,NA,0,NA,15000,NA,NA,0,0,0,0,0,4,2,2,4,1,1,none,0,0,Not know,Half_elec,none,none,none,none,250,75,27500,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3.30089262524954,06085504421
MGRKO,4,1,70,Male,65000,some college,Asian,5,0,0,SF,2,1,1250,Older,0,150,1,2,Gas,Central,Gas,0,1,6,3,NA,Gas,0,3,1,5,3,0,0,2,0,2,3,3,0,10000,6000,NA,500,0,0,0,0,0,3,3,1,1,1,0,potential,0,0,Gas,Full_elec,peer,peer,peer,none,250,150,2500,1,2,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0.760620129493758,06085504418
CDMXL,4,1,50,Female,225000,college,Asian,6,0,1,SF,4,1,1750,BrandNew,1,150,1,2,Gas,Central,Not know,1,0,4,4,NA,Gas,0,3,2,4,2,0,0,2,0,2,3,3,0,1000,2000,NA,100,0,0,1,0,0,3,3,3,3,1,0,own,1,0,Gas,Half_elec,neighbor,peer,none,neighbor,350,250,10000,1,NA,1,1,1,1,0,1,1,0,0,0,0,0,0,0.476004719621543,06085504506
XTFMR,4,0,60,Male,225000,graduate,White,6,0,1,SF,4,1,2250,BrandNew,1,250,1,2,Gas,Central,Gas,1,1,6,4,NA,Gas,1,4,2,4,3,0,0,2,0,2,3,3,0,10000,4000,NA,NA,1,0,1,0,0,4,2,2,2,1,1,own,0,1,Gas,Full_elec,neighbor,peer,none,neighbor,350,250,22500,1,1,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0.696267893016441,06085511916
