building_id,puma20,income_category,assigned_pv,assigned_battery,assigned_ev,assigned_hp
23895,G06008303,High,False,False,False,0
144106,G06008303,Low,False,False,False,0
130603,G06008303,Low,False,False,False,0
466496,G06003760,Medium,False,False,False,0
293440,G06003760,High,True,True,False,0
340137,G06005925,High,True,True,False,1
340024,G06005918,Low,False,False,False,0
466507,G06003768,High,False,False,False,0
29595,G06005918,High,False,False,True,1
16935,G06003761,Low,False,False,False,0
340692,G06003766,Low,False,False,False,0
340656,G06003760,High,False,False,False,0
527019,G06003761,Medium,False,False,False,0
340636,G06005912,High,True,True,True,0
340598,G06005914,Low,False,False,False,0
237221,G06003760,High,False,False,False,0
340139,G06003760,High,False,False,False,0
260792,G06005925,High,False,False,False,0
237137,G06008303,Medium,False,False,True,0
401723,G06003760,Medium,False,False,False,0
224724,G06005908,High,False,False,False,0
509777,G06005918,Medium,True,True,False,0
29540,G06011104,High,False,False,False,0
401794,G06011109,Medium,False,False,False,0
466549,G06011102,Low,False,False,False,0
340186,G06005914,Medium,False,False,False,0
401713,G06008303,Medium,False,False,False,1
266491,G06005914,Low,False,False,False,0
184370,G06011104,High,False,False,False,0
411971,G06003779,Low,True,True,False,0
338905,G06003780,Low,False,False,True,0
17160,G06011104,Medium,False,False,False,0
294228,G06005925,High,True,True,False,0
73808,G06003780,High,False,False,False,0
153444,G06005925,Medium,False,False,False,1
445421,G06011103,Low,False,False,False,0
153414,G06005918,High,False,False,False,0
338982,G06003768,High,True,True,False,1
98385,G06003761,High,False,False,True,0
29249,G06011104,High,False,False,False,0
339081,G06005925,High,False,False,False,0
73875,G06003779,High,False,False,False,0
445453,G06003762,Low,True,True,False,0
338649,G06003766,Medium,False,False,False,0
294411,G06003774,Medium,False,False,False,0
510438,G06008303,High,False,False,False,0
29145,G06011104,High,False,False,False,0
294410,G06011103,High,False,False,False,0
212471,G06003779,Low,False,False,False,0
402027,G06003760,High,True,True,False,0
294409,G06005918,Low,False,False,False,0
338498,G06005913,High,False,False,False,0
338582,G06003760,Medium,False,False,False,0
445459,G06005925,High,False,False,False,1
510271,G06005918,Medium,False,False,False,0
526674,G06003768,High,False,False,False,0
510229,G06005914,Medium,False,False,False,0
412035,G06011104,High,False,False,False,0
293754,G06003780,Low,False,False,False,0
17030,G06011103,High,False,False,False,0
466432,G06005925,Low,False,False,True,1
339852,G06011103,High,False,False,False,0
339868,G06011102,Low,False,False,False,0
339885,G06005925,High,False,False,False,0
339951,G06005914,Low,True,True,False,0
237008,G06003780,Low,False,False,False,0
445253,G06011103,Medium,True,True,False,0
479153,G06003780,Medium,False,False,False,0
106484,G06005912,High,False,False,False,0
339255,G06005914,High,False,False,False,0
510150,G06003762,High,False,False,False,0
153214,G06005912,High,False,False,False,0
153207,G06011103,High,True,True,False,0
510136,G06011103,Medium,False,False,False,0
236901,G06003766,Medium,False,False,False,0
73962,G06011103,Low,False,False,True,0
153168,G06003760,Medium,False,False,False,0
546894,G06011103,Medium,False,False,False,0
46784,G06005925,Medium,False,False,False,0
17037,G06005925,Medium,True,True,True,0
208345,G06003780,High,False,False,False,0
509714,G06003760,High,False,False,False,0
46629,G06005925,High,False,False,False,1
546689,G06003774,Low,False,False,True,0
16701,G06003780,Medium,False,False,False,0
508810,G06003779,Medium,False,False,False,0
292357,G06005925,Medium,False,False,True,0
479053,G06005912,Low,False,False,False,0
546600,G06005913,Medium,False,False,True,0
342806,G06008303,Medium,False,False,False,0
508635,G06011104,Low,False,False,False,0
16692,G06003761,Medium,False,False,False,0
150776,G06003774,Medium,False,False,False,0
412383,G06008303,High,False,False,False,1
237866,G06011103,Medium,False,False,False,0
343126,G06003762,Medium,False,False,False,0
208018,G06005918,High,False,False,False,0
546578,G06011103,High,False,False,False,0
343140,G06003768,High,True,True,False,0
150952,G06003761,High,True,True,False,0
443778,G06008303,Medium,True,True,False,0
466848,G06003766,Medium,False,False,False,0
342524,G06003768,Low,False,False,True,0
208118,G06011103,Low,False,False,False,0
538343,G06008303,Medium,False,False,False,0
342571,G06005912,High,False,False,False,0
342774,G06003779,Medium,False,False,False,0
